,wait_delay
19880,7100
19900,7100
19920,7100
19940,7100
19960,7100
19980,7100
20000,7100
20020,7100
20040,7100
20060,7100
20080,7100
20100,7100
20120,7100
20140,7100
20160,7100
20180,7100
20200,7100
20220,7100
20240,7100
20260,7100
20280,7100
20300,7100
20320,7100
20340,7100
20360,7100
20380,7100
20400,7100
20420,7100
20440,7100
20460,7100
20480,7100
20500,7100
20520,7100
20540,7100
20560,7100
20580,7100
20600,7100
20620,7100
20640,7100
20660,7100
20680,7100
20700,7100
20720,7100
20740,7100
20760,7100
20780,7100
20800,7100
20820,7100
20840,7100
20860,7100
20880,7100
20900,7100
20920,7100
20940,7100
20960,7100
20980,7100
21000,7100
21020,7100
21040,7100
21060,7100
21080,7100
21100,7100
21120,7100
21140,7100
21160,7100
21180,7100
21200,7100
21220,7100
21240,7100
21260,7100
21280,7100
21300,7100
21320,7100
21340,7100
21360,7100
21380,7100
21400,7100
21420,7100
21440,7100
21460,7100
21480,7100
21500,7100
21520,7100
21540,7100
21560,7100
21580,7100
21600,7100
21620,7100
21640,7100
21660,7100
21680,7100
21700,7100
21720,7100
21740,7100
21760,7100
21780,7100
21800,7100
21820,7100
21840,7100
21860,7100
21880,7100
21900,7100
21920,7100
21940,7100
21960,7100
21980,7100
22000,7100
22020,7100
22040,7100
22060,7100
22080,7100
22100,7100
22120,7100
22140,7100
22160,7100
22180,7100
22200,7100
22220,7100
22240,7100
22260,7100
22280,7100
22300,7100
22320,7100
22340,7100
22360,7100
22380,7100
22400,7100
22420,7100
22440,7100
22460,7100
22480,7100
22500,7100
22520,7100
22540,7100
22560,7100
22580,7100
22600,7100
22620,7100
22640,7100
22660,7100
22680,7100
22700,7100
22720,7100
22740,7100
22760,7100
22780,7100
22800,7100
22820,7100
22840,7100
22860,7100
22880,7100
22900,7100
22920,7100
22940,7100
22960,7100
22980,7100
23000,7100
23020,7100
23040,7100
23060,7100
23080,7100
23100,7100
23120,7100
23140,7100
23160,7100
23180,7100
23200,7100
23220,7100
23240,7100
23260,7100
23280,7100
23300,7100
23320,7100
23340,7100
23360,7100
23380,7100
23400,7100
23420,7100
23440,7100
23460,7100
23480,7100
23500,7100
23520,7100
23540,7100
23560,7100
23580,7100
23600,7100
23620,7100
23640,7100
23660,7100
23680,7100
23700,7100
23720,7100
23740,7100
23760,7100
23780,7100
23800,7100
23820,7100
23840,7100
23860,7100
23880,7100
23900,7100
23920,7100
23940,7100
23960,7100
23980,7100
24000,7100
24020,7100
24040,7100
24060,7100
24080,7100
24100,7100
24120,7100
24140,7100
24160,7100
24180,7100
24200,7100
24220,7100
24240,7100
24260,7100
24280,7100
24300,7100
24320,7100
24340,7100
24360,7100
24380,7100
24400,7100
24420,7100
24440,7100
24460,7100
24480,7100
24500,7100
