d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:22:01.610903118,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390121.987903118,0.377,390121.61090311804,2021-02-04 12:22:01.610903118,34,11207
2021-02-04 12:23:13.126120018,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390193.127120018,0.001,390193.126120018,2021-02-04 12:23:13.126120018,35,71515
2021-02-04 12:23:23.693528103,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390203.694528103,0.001,390203.693528103,2021-02-04 12:23:23.693528103,36,10567
2021-02-04 12:23:34.635627012,97b9300c3b009d6eabbbada78c1824841b9ce9d5f98dc1097c61df48e5e9f689,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390218.780627012,4.145,390214.635627012,2021-02-04 12:23:34.635627012,37,10942
2021-02-04 12:24:33.319177078,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390273.320177078,0.001,390273.319177078,2021-02-04 12:24:33.319177078,38,58684
2021-02-04 12:24:45.462104010,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390285.46310401,0.001,390285.46210401,2021-02-04 12:24:45.462104010,39,12143
2021-02-04 12:25:07.403741100,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390307.7757411,0.372,390307.40374110005,2021-02-04 12:25:07.403741100,40,21942
2021-02-04 12:25:40.561489986,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390340.562489986,0.001,390340.561489986,2021-02-04 12:25:40.561489986,41,33158
2021-02-04 12:25:48.776504953,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390349.168504953,0.392,390348.776504953,2021-02-04 12:25:48.776504953,42,8215
2021-02-04 12:26:02.062686060,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390362.06468606,0.002,390362.06268606003,2021-02-04 12:26:02.062686060,43,13286
2021-02-04 12:26:14.690714048,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390374.691714048,0.001,390374.690714048,2021-02-04 12:26:14.690714048,44,12628
2021-02-04 12:26:24.439542936,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390384.440542936,0.001,390384.439542936,2021-02-04 12:26:24.439542936,45,9749
2021-02-04 12:26:34.114854979,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390394.115854979,0.001,390394.11485497904,2021-02-04 12:26:34.114854979,46,9675
2021-02-04 12:26:56.421440073,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390416.800440073,0.379,390416.421440073,2021-02-04 12:26:56.421440073,47,22307
2021-02-04 12:27:02.942974018,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390422.943974018,0.001,390422.942974018,2021-02-04 12:27:02.942974018,48,6522
2021-02-04 12:29:29.954851038,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390570.347851038,0.393,390569.954851038,2021-02-04 12:29:29.954851038,49,147012
2021-02-04 12:29:45.060507940,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390585.06150794,0.001,390585.06050794,2021-02-04 12:29:45.060507940,50,15106
2021-02-04 12:30:00.019283945,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390600.362283945,0.343,390600.01928394503,2021-02-04 12:30:00.019283945,51,14959
2021-02-04 12:30:26.948107031,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390635.14510703104,8.197,390626.94810703106,2021-02-04 12:30:26.948107031,52,26929
2021-02-04 12:33:00.018554041,68d84244f6a3c212c69884d292b01a04ade8573f6c7b7407e39e0c44fd8e659e,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390780.096554041,0.078,390780.01855404105,2021-02-04 12:33:00.018554041,53,153070
2021-02-04 12:33:27.772588896,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390807.773588896,0.001,390807.772588896,2021-02-04 12:33:27.772588896,54,27754
2021-02-04 12:33:44.156614946,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390824.157614946,0.001,390824.156614946,2021-02-04 12:33:44.156614946,55,16384
2021-02-04 12:33:51.754476952,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390831.755476952,0.001,390831.754476952,2021-02-04 12:33:51.754476952,56,7598
2021-02-04 12:33:59.619542049,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390839.620542049,0.001,390839.619542049,2021-02-04 12:33:59.619542049,57,7865
2021-02-04 12:34:09.452525908,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390849.846525908,0.394,390849.452525908,2021-02-04 12:34:09.452525908,58,9833
2021-02-04 12:34:27.585613945,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390867.957613945,0.372,390867.58561394503,2021-02-04 12:34:27.585613945,59,18133
2021-02-04 12:35:43.016353058,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390943.017353058,0.001,390943.016353058,2021-02-04 12:35:43.016353058,60,75431
2021-02-04 12:35:57.227022099,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390957.22802209907,0.001,390957.2270220991,2021-02-04 12:35:57.227022099,61,14211
2021-02-04 12:36:02.316658901,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390962.317658901,0.001,390962.316658901,2021-02-04 12:36:02.316658901,62,5090
2021-02-04 12:36:14.362233089,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390974.363233089,0.001,390974.362233089,2021-02-04 12:36:14.362233089,63,12046
2021-02-04 12:36:30.506253885,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390990.507253885,0.001,390990.506253885,2021-02-04 12:36:30.506253885,64,16144
2021-02-04 12:36:43.192850994,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391003.193850994,0.001,391003.192850994,2021-02-04 12:36:43.192850994,65,12687
2021-02-04 12:37:00.012686968,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391020.012686968,0.0,391020.012686968,2021-02-04 12:37:00.012686968,66,16820
2021-02-04 12:37:16.443474936,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391036.444474936,0.001,391036.443474936,2021-02-04 12:37:16.443474936,67,16431
2021-02-04 12:37:24.060690092,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391044.061690092,0.001,391044.06069009204,2021-02-04 12:37:24.060690092,68,7617
2021-02-04 12:37:38.866847919,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391058.86784791906,0.001,391058.86684791907,2021-02-04 12:37:38.866847919,69,14806
2021-02-04 12:37:51.093793911,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391071.099793911,0.006,391071.093793911,2021-02-04 12:37:51.093793911,70,12227
