sno,Unnamed: 0,wait
215,2150,8053
216,2160,8058
217,2170,7250
218,2180,7578
219,2190,7580
220,2200,7229
221,2210,7955
222,2220,8506
223,2230,7817
224,2240,7201
225,2250,7639
226,2260,6724
227,2270,7328
228,2280,8061
229,2290,8151
230,2300,8135
231,2310,8445
232,2320,7065
233,2330,7420
234,2340,8002
235,2350,7532
236,2360,7799
237,2370,7989
238,2380,8191
239,2390,7903
240,2400,8018
241,2410,6592
242,2420,3417
243,2430,6107
244,2440,7712
245,2450,8378
246,2460,8050
247,2470,7966
248,2480,8261
249,2490,7447
250,2500,7772
251,2510,7794
252,2520,7894
253,2530,7732
254,2540,8250
255,2550,7350
256,2560,7066
257,2570,7709
258,2580,8444
259,2590,7935
260,2600,5528
261,2610,7045
262,2620,7532
263,2630,7474
264,2640,7704
265,2650,6147
266,2660,2005
267,2670,6482
268,2680,7290
269,2690,6854
270,2700,7510
271,2710,7961
272,2720,7876
273,2730,7148
274,2740,8183
275,2750,8339
276,2760,8414
277,2770,7646
278,2780,7749
279,2790,7336
280,2800,7547
281,2810,7697
282,2820,7631
283,2830,7354
284,2840,7223
285,2850,2874
286,2860,6269
287,2870,6916
288,2880,7615
289,2890,7727
290,2900,8483
291,2910,8465
292,2920,8014
293,2930,7565
294,2940,7875
295,2950,7571
296,2960,7858
297,2970,7681
298,2980,7417
299,2990,7695
300,3000,8184
301,3010,7031
302,3020,3394
303,3030,6031
304,3040,1532
305,3050,5215
306,3060,7136
307,3070,7640
308,3080,8000
309,3090,7521
310,3100,7574
311,3110,8060
312,3120,7465
313,3130,6715
314,3140,7467
315,3150,7626
316,3160,7326
317,3170,6368
318,3180,6599
319,3190,7556
320,3200,7122
321,3210,7516
322,3220,7412
323,3230,7315
324,3240,5996
325,3250,6733
326,3260,5627
327,3270,5569
328,3280,5310
329,3290,6704
330,3300,7284
331,3310,6990
332,3320,7491
333,3330,7504
334,3340,7729
335,3350,7964
336,3360,7953
337,3370,8172
338,3380,8152
339,3390,7691
340,3400,7083
341,3410,7710
342,3420,4319
343,3430,3337
344,3440,6364
345,3450,1634
346,3460,2324
347,3470,3530
348,3480,4397
349,3490,2020
350,3500,3763
351,3510,6920
352,3520,7654
353,3530,7360
354,3540,7052
355,3550,7376
356,3560,6953
357,3570,7646
358,3580,8209
359,3590,7412
360,3600,7742
361,3610,7838
362,3620,7829
363,3630,6617
364,3640,7892
365,3650,6787
366,3660,7564
367,3670,7220
368,3680,7509
369,3690,7413
370,3700,7978
371,3710,7759
372,3720,7640
373,3730,7057
374,3740,5857
