,wait_delay
34290,8531
34320,8714
34350,10620
34380,8657
34410,10596
34440,10365
34470,11427
34500,6796
34530,9965
34560,11325
34590,11274
34620,9763
34650,10212
34680,11117
34710,8593
34740,10947
34770,11103
34800,10360
34830,10209
34860,10508
34890,10218
34920,10048
34950,11280
34980,8001
35010,10447
35040,9718
35070,11393
35100,10713
35130,9509
35160,10764
35190,11120
35220,10991
35250,2231
35280,10577
35310,9857
35340,5138
35370,9079
35400,11335
35430,9134
35460,11276
35490,9822
35520,9704
35550,9679
35580,10347
35610,9646
35640,10006
35670,9037
35700,9397
35730,9976
35760,8328
35790,186
35820,8670
35850,9215
35880,10440
35910,9939
35940,8870
35970,9424
36000,7783
36030,10660
36060,8351
36090,9557
36120,9227
36150,7753
36180,9081
36210,9032
36240,8741
36270,8998
36300,8855
36330,8929
36360,9709
36390,10491
36420,10159
36450,10264
36480,9152
36510,9529
36540,10745
36570,6697
36600,7632
36630,9762
36660,7302
36690,8000
36720,10777
36750,10258
36780,9876
36810,9481
36840,10058
36870,10123
36900,8904
36930,10124
36960,847
36990,6981
37020,9232
37050,265
37080,2592
37110,5440
37140,656
37170,3780
37200,4109
37230,5182
37260,1698
37290,7954
37320,8244
37350,9144
37380,660
37410,9820
37440,9468
37470,9325
37500,8811
37530,9660
37560,9621
37590,796
37620,4137
37650,214
37680,704
37710,6177
37740,971
37770,545
37800,2707
37830,643
37860,564
37890,420
37920,621
37950,511
37980,2363
38010,458
38040,205
38070,901
38100,184
38130,462
38160,649
38190,530
38220,535
38250,470
38280,572
38310,538
38340,486
38370,531
38400,115
38430,491
38460,2571
38490,110
38520,10244
38550,865
38580,6320
38610,2979
38640,1285
38670,7514
38700,10624
38730,3637
38760,7939
38790,499
38820,645
38850,8815
38880,482
38910,10477
38940,9716
38970,10779
39000,5262
39030,10621
39060,10450
39090,929
39120,7320
39150,10664
39180,9689
39210,511
39240,391
39270,7258
39300,114
39330,669
39360,457
39390,127
39420,612
39450,266
39480,480
39510,550
39540,408
39570,117
39600,559
39630,553
39660,266
39690,122
39720,124
39750,122
39780,1460
39810,2673
39840,534
39870,569
39900,535
39930,557
39960,519
39990,595
